,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
31,hypertension)|women,respiratory acidosis,allogeneic,signed an informed consent||,epworth sleepiness scale (ess),cd113;|major surgery,aortic valve replacement (avr),pediatric rheumatologist).||,|recipient,criteria|50-90 years,within 4 days after hospital admission,score of 24 or higher,more than one clinical symptom.|18,,concern for,unwillingness or inability to participate in the study|currently own an apollo device,a child,"willing and able to read, understand, and sign the irb-approved icf.|between the"
32,chinese,hydatidiform mole,vaccine component,unable to have,floxuridine (fudr),mild trauma brain injury (tbi),implanted electrical devices,university hospital of vienna,except the,ses-cd>6,prior to injection,lower than 1.5 before screening × 10^9/l；||4.2 mds,"≥ 100,000/mm3|hb",,cessation,agreement to participate in the study,pregnant participants|presence of,patient does not object to the processing of his or her data||only for
33,volunteers|age,ccna,chicken,signed informed consent obtained before,new york heart association (nyha) class,baseline ecg,artificial cardiac pacemaker,hospital staff,irradiation)|unable to,haidian hospital,within the month preceding infection treatment,<50 mmhg.|those,more than 10 years,,interfering with exercise performance;|concomitant,inability or unwillingness of a parent guardian to give written informed consent or comply with study protocol.|parents who will not include either a puree or some form of bottle feeding such that the infant,yo|pregnant women.|breastfeeding women.|consent not given|claustrophobia|incapacited subject or,patient refusal to participate in the study;|pregnant or nursing;|allergies to
34,h|age,fetal abnormalities|inability to communicate,lactic acid bacteria products,breast feeding|patients,aspartate aminotransferase (ast)/ (serum glutamic-oxaloacetic transaminase,namzaric,bypass surgery.|able,permanent,precludes,topical use of drugs,"at screening or baseline which could, in the opinion of the investigator",more than 1200 g and less than 1000 g,vas).|at least one,,potentially causing,written informed consent obtained before any trial-related procedures are performed|male,participants who completed the end of treatment visit in study ins1009-211 (nct05176951),not willing to participate|history of
35,angiomas).|male,"risk breast cancer""||",anti-pd-1 monoclonal antibody,cohort study).|art restart,human immunodeficiency virus (hiv) antigen,complete quality of life questionnaires;|patient accepting study follow-up visits;|patient having,orthodontic appliances,neonatal intensive care unit,unresponsive,that may affect bone,practice at least one,≥ 200 ml,stroke|at least one,,immunotherapy for,written informed consent by legal guardian|paediatric patients,is japanese|for,the subject is caucasian &
36,|hospitalized,cancer navigation,iodine agents,life expectancy assessment,tsh,factors.||good general health|fixed orthodontic appliances patients should,hymenoptera venom,university hospitals (hus),unless otherwise,icsi|major,for at least 1 month||,greater than 4000 milliliters,more than 3 months prior to enrollment,,changes in pharmacotherapy,"inability to complete follow-up questionnaires|declining operative management|no desire to return to golf postoperatively|medical problem that affects the patient's ability to play golf (e.g., angina",inability to obtain,refusal to sign the informed consent form.
37,2）life expectancy,diffuse carcinoma in situ,rad52,unable to be reached,residual neutropenia,hospital stay,biopsy-proven,university of california san diego health cardiac,other than,clinical-related,within 100 days of visit 2|presence,≥ 1.5 x 109/l|platelets,≥4,,signs of progression,ability to understand and willingness to sign a written informed consent in accordance with ich/gcp regulations before registration and prior to any trial-specific procedures.|confirmed diagnosis,not caring for a family caregiver to a person with dementia,the patient is pregnant or breastfeeding.|the patient has
38,female|adults,alveolar hemorrhage,components of study intervention,artificial valve|life expectancy,uln)|absolute neutrophil count,surgical therapy,primarily interhemispheric,emergency department/urgent,not emancipated,african ethnic backgrounds,at least five,three times weekly,> 1 month,,early,availability of a documented biopsy-confirmed,is under,the subject has a history of
39,years;|histologically,root canal retreatment,agents used,understands infectious risks associated with fmt administration,sedimentation rate,therapeutic radiation,metal worker,action plan,with the exception of patients with,physician.|bilateral,7 days prior to admission to the clinical trial unit until completion of the final onsite follow-up visit,60-90,2 joints|at least one,,able to use,patient requested to physically come,"being a 1st, 2nd,",r parents and their children
40,include:||are,inhibits the,devices;|patients,histological evidence,pizz genotype,-eclampsia,mri conditional implants,er,not opposing,under guardianship|non-cooperative,medical university of,"between 18 and 65 years,|ambulatory pwms with definite diagnosis",less than a month,,anticipation of,incapable of participating in the study based on the assessment of the nursing staff|toothless or,female subjects must have a,intellectual retardation)|addictive behaviors|current major depressive episode
41,||female,biochemical-only,deoxycholic acid,close contact,modified allen test;|patients,re-transplantation,heart pacemaker,inpatient,not enough,muscle-invasive,within 200 µm of the fovea|if,"≥10,|identify",≥ 37.5 °c,,willing,unwillingness to fast,chinese males,refusal to consent|inability to access internet
42,minors,selected into other clinical trials,hydatidiform mole,invalid address|participant,absolute granulocyte count,allogeneic,aortic valve area<1cm2,pediatric hematology and oncology outpatient clinic,immediately,index,within the normal value range can participate in this study,>75 years,2-6,,potential for pregnancy,ability to understand the protocol and to agree to and sign a written informed consent,female subjects must not donate ova,"refusal to further participate in the study;|non-compliance to the therapy regimen.|poor quality ecg,"
43,dementia||men,infection;|unstable cardiac disease,medroxyprogesterone,situations related to covid-19 pandemic,hepatitis b surface antigen and hepatitis b virus deoxyribonucleic acid,deterioration of clinical conditions,venous blood collection,university faculty of dentistry,uncontrollable,non-medical reason,within 28 days prior to the enrollment,evaluation;|the patient is,more than 7 days,,low risk for,capable to understand the study and the questionnaires,participants provision of a signed and dated informed consent and/or assent document indicating that the participant has been informed of all pertinent aspects of the study before any assessment is performed.|participants who is willing and able to comply with scheduled visits,refusal of the patient to participate in the study.|minors under 18 years of age and over 79 years of age.
44,parkinsonian,gastroparesis 9,full-dose,life span,points;|calgary schizophrenia depression scale,world health organization (who) definition.|any,intra articular,adult egyptian,with the exception of alopecia|prior palliative,preclude administration of,for three days,≤ 3 x the upper limit of normal of the,>5 mg daily|daily use,,evident,inability to consent for services due to,pregnant patients,"refusal to participate in the research,|diagnosing metastatic breast cancer ("
45,metformin);|women,heart failure decompensation episodes||if,components of nutridrink compact protein,participated in an allergic rhinitis study,pcd insertion,chicken,allogeneic,pediatric emergencies of,system|able,bnct||pregnant,admission history,≤ 80,more than 1gm,,criteria:||refusal to,ability to understand and the willingness to sign a written informed consent form and hipaa authorization.|stated willingness to comply with all study procedures and availability for the duration of the study|male,being a,refusal to sign the informed consent|subjects having previously been treated with car-t therapy.|subjects with clinically significant active bleeding
46,infants,decline in functional status,molars,unable to conduct the follow up visits per protocol,hiv test results|as applicable use,macular laser treatment,developmental delays,emergency department,cannot lie in the,3-4,within 14 days prior to registration)|step 1,more than 1.5 times of the upper limit of normal,greater than 350 mg/m^2,,psychiatric history,gvhd.|pregnancy.|inability to provide consent.|need for vasopressor,pregnant and lactating,the patient is between 18 and 85 years old|providing crps diagnostic criteria by using budapest clinical criteria [16]|the patient has had
47,a,problem wearing knee,antibody,remain on the,efw,chemoimmunotherapy,implanted electro-medical,pediatric adverse events,with the exception of the psilocybin used within this study),third trimester of pregnancy,within 4 weeks of first study agent,between the age range of 17 to 20 years old,10mg iv bumetanide challenge,,likely to require,informed consent obtained before any study related activities. study related activities are any procedures that are carried out as part of the study,the women,the patient has any history of active autoimmune disease
48,genetic,left heart disease,full combined pharmacogenomic profile,speak and read english;|provision,test result,adjuvant radiotherapy,implanted pumps|metal,emergency surgery|egfr,except ≤,clinically significant abnormality,after all standard therapies,between 18 years and 55 years,more than 3 months|having,,scheduled to have,able to provide informed consent for,the participants,"provision of free and informed consent in writing, signed and dated;|age according to the indicated population (18-65 years"
49,systemically,depressive,ajovy®,criteria||fully dentate,required;|total bilirubin (tbl),tsh,sponge,outpatient clinic of neonatal unit,"acceptable.|any prior surgery,",er,within the study;|history of oncological disease,0-10 point,ucsd|age 18 years,,indicated for,not being eligible to participate in curriculum research|have any previous training in blood transfusion|have clinical experience in the subject|not volunteering to participate in the study,the persons selected,refusal of procedure or participation in the study.|american society of anesthesiologists classification (asa) class iii or iv.|coagulation disorders (
50,≥iii;|obstructive,myelomeningocele,dopamine therapies,emergency life support.|patients' body weight,gestational hypertension|gestational diabetes|primary ovarian insufficiency,"gastric bezoar, achalasia",ic,pediatric intensive care,with the exception of the oberon,clostridium difficile induced diarrhea,in the last 3 months|systemic,> 6 weeks,at least 1cm,,stated,any other condition that limits the eligibility of obtaining informed consent or may affect the volunteer's ability to participate in the study;|pregnancy or breast-feeding;||severe and,the patients,"patient does not understand, sign, and return consent form|patient is pregnant|inability to perform regular electronic reporting"
51,participants,"cancer diagnosis,|no communication problems",immunosuppressant medication,nursing mother|foreseeable compliance problems|neoplastic diseases,er,mutational hotspots),noninfectious,outpatient clinic of assiut university||,absence of,reproductive organs.||(2,in the 7 days or,≤ 90 mm hg,greater than (>) 6,,need special,agreement to,pregnant and,a:||able to provide informed consent and comply with requirements of the study;|≥18 years and <70 years of age;|confirmed diagnosis
52,days|patient,hepatitis c.,intravenous (iv) diuretic,move from the study area,measurement of hba1c|class ii,first trimester abortion,cerebral vascular accident,university hospital basel|hospital stay,with the exception that,german language,previous 48 hours prior to the surgery.|patient,≥100 mmhg);|corrected qtcf interval,"≥nci, ctc ae",,relevant,unwillingness or inability to participate in the study|unwillingness or inability to provide written informed consent form|wocbp with positive pregnancy test,females with childbearing potential must comply with using highly effective methods,willingness to provide a written informed consent or witnessed oral consent in the case of illiteracy for participation in the study prior to all study-related procedures|be ≥ 18 years and <70 years of age|having a diagnosis of
53,excluding,clinical conditions|acute illness,sitting,unable to acquire ecg,modified melasma activity and severity index (mmasi) score||,imaging evaluation,irreversible toxicity not,pediatric primary care,a:||cohort 1,full-dose,within the last three months|participation,< 1000 iu/ml,large amounts,,is prescribed,written informed consent and authorization to use,pregnant or,"patient's lack of consent to participate;|presence of abnormal liver, kidney"
54,female;|age,tanymremvi (+),parenteral cs,noncompliance to medical regimens.|patients,american congress of rehabilitation medicine criteria,nerve root decompression,cardiac resynchronization therapy (crt),university hospitals,facility,first-generation antihistamines,within 4 weeks or five times the half-life of the investigational product,< 30%|platelet count,once a month or more,,requirement to,informed consent of the parents or patient.|after surgical resection,if there is respiratory disease,refusal of the patient from surgical treatment;|presence of contraindications to surgical treatment;|severe forms of diabetes mellitus (
55,1.participants,retinopathy,anti_platelet medications,cockcroft-gault formula).|positive test,european country|body mass index,mgb,intrauterine adhesion,university of cincinnati hospital,irradiation.|patients,treatment|prior,at 52 mmol/mol,<10 years,dose,,clinical routine,acceptance of the mother to participate and sign an informed consent form|a,"ftx-6058,",willing and able to sign informed consent form and comply with visit and study procedures per protocol.|male or female
56,years.|both,extensive small cell lung cancer,medications known to modulate skeletal muscle metabolism,situations that would limit compliance with study requirements.||exclusion criteria,months|being,ventriculoperitoneal shunt placement,pulmonary vascular resistance [pvr],pharmacorefractory,can,with curative intent|age,within 3 months prior to enrolment,<0.5 x103/μl|platelet count,more than 3 months||,,esophagogastroduodenoscopy.|information available,written informed consent obtained.|age,if the habitual residence,months：during the periods from four months to one month prior to the date of initial use of
57,mutiple,communication barrier|having problems,intravitreal corticosteroid implant,unable to follow,dbp ≥110mmhg)|excess alcohol consumption,index,allogeneic bone marrow transplantation;|14,neonatal intensive care unit assiut university children's hospital,healing touch,interfere with cooperation with the trial's requirements.|is,less than five months ago|at least 2,less than 20%,≥ 12 weeks,,refusing,participants exclusion criteria||- voluntarily requesting exclusion from the study,genetic male,"refusal of the patients to give informed consent,|preexisting coagulation disorders,|known"
58,patients):||age,cardiac illness,injectable glucocorticoid therapy,speak indigenous languages,lvef（left ventricular ejection fraction,er,arterial hypervascular focal lesion,ambulatory basis,no opposing,low ovarian reserve,within 3 months prior to study start,20-degree,10 mg/ml,,biochemical evidence,able to comprehend and follow the requirements and restrictions of the study,the male,patient's refusal|poor compliance
59,workers,diarrhoea,oral,unable to follow vocal instructions).|inability for,women.||body mass index,positron emission tomography (pet),imaging examinations;|the,pediatric oncology departments,record.|pregnant,non-inclusion criteria||patients,within 3 months before screening;|the,from 4 to 14years,<3 x uln,,unable to have,"period|able to understand written/spoken english - all study participants will be provided with an overview of the study goals, research activities and tasks",the diagnosis,signed consent obtained before any study-related activities (study-related activities are any procedure related to recording of data according to the protocol).|the decision to initiate treatment with commercially available sogroya (somapacitan) has been made by the participant and the treating physician before and independently from the decision to include the participant in this study.|male
60,enrollment;|males,gastrointestinal obstructions,opioid substitution therapy,living in areas,response criteria in solid tumors (recist),clinical assessment,intratumoral injection,hospital stay;|age,unless,secondary to breast cancer treatment|the participant,at least 3 months prior to enrollment.|participants will be,"18-50,|demanding",>1 cycle,,managed for a definite osteoarticular infection,patient admitted to the room|patient spent ≥1 night,if the patient's signature,the patient has previously received stem cell or gene therapy|the patient has received
61,reminyl,hemopericardium,midline closure site,turkish|able to read,expected risks.||,institutional trauma code for trauma,pva,university hospital,condition||healthy,n3 rank.|full-time,continue for at least 4 weeks,<10.5%|body mass index,chronic use,,excessively,"any other condition or behavior that in the opinion of the pi would affect the ability to participate in the transmission study over the next several days.||presence of immunosuppression or any medications that may be associated with impaired immune responsiveness7.|including, but not limited to,",impossibility of collecting data related to the surgical procedure|impossibility of contact with the patient to obtain the informed consent form,patient older than 15 years and 3 months admitted in adult emergency department
62,mpox|age,events of pneumonitis,atkins],render the patient unable to comply,bprs,months|being,dementia||men,university hospital inselspital in bern.|patients,no dose,sampled,within 1 week before day 1 pre-enrollment:||tcs|tci|anti-pruritic,between 16 years and 40 years,≥2 in one system,,rely,the unborn child suffer,if the parent,refusal to consent|lost to follow-up
63,biopsy.|age,duct carcinoma in situ,psychoactive substances,plant sterols,spleen assessed,instrumental delivery,parkinsonian,pediatric brain tumor|patient,protections.|tattoos,electrophysiologically,during the 4-week period prior to screening.|uncontrolled hypertension.|severe,<95% or presenting,> 2 time,,proportion,patient relatives',is pregnant or breastfeeding|5,the patient has been diagnosed with
64,old,peripheral vascular surgery,hormonal drugs|in,setting,hemoglobin ≥60 g/l,intestinal surgery,dental prostheses,hospital intensive care unit||,with the exception of,sacroiliac joint,within 24 (urine),>1.500/mcl,10 mg daily of,,operated,able to provide signed informed consent (,adults unable to provide consent must have a,patient refusal to participate|age <65 years.|emergency surgery|pre-existing
65,major,skin damage,feverish,ceiling of care,cdr,chemo-radiation therapy|unable to give consent|pregnant,delayed dental implant,"ambulatory nyha class iv, and||documentation of the following",do not,high grade bladder cancer,in past 3 month|patient,2 to 5,daily for at least 1,,initiation,"subject unable to give voluntary written informed consent,",is a concerned significant,"refusal of the patient to participate in the study|contraindication for performing the regional technique (people with infections in the area of the skin where the puncture must be performed,"
66,practice|reiki,h. pylori.|prior surgery to the esophagus,walk,participation into a clinical study,structurally normal hearts|age,left ear|fecal calprotectin,implantable contraception,participants:||(1,angina;|unstable,sitting,within one year before enrollment in the study.|the treatment area,<institutional uln,≥1 g/g,,sleep aid,patient unable to give consent|patient on,suicidal|currently pregnant,current patient in the university of
